#X,rev_axeAmortisseur_supportPrincipal->RZ_Velocity(rel)
#Time(sec),Angular Velocity(degrees/sec)_Real
7.810000E+00,-6.814582
7.820000E+00,-6.816051
7.830000E+00,-6.817512
7.840000E+00,-6.818966
7.850000E+00,-6.820410
7.860000E+00,-6.821847
7.870000E+00,-6.823275
7.880000E+00,-6.824695
7.890000E+00,-6.826106
7.900000E+00,-6.827510
7.910000E+00,-6.828904
7.920000E+00,-6.830291
7.930000E+00,-6.831669
7.940000E+00,-6.833039
7.950000E+00,-6.834400
7.960000E+00,-6.835753
7.970000E+00,-6.837098
7.980000E+00,-6.838434
7.990000E+00,-6.839761
8.000000E+00,-6.841080
8.010000E+00,-6.842390
8.020000E+00,-6.843692
8.030000E+00,-6.844985
8.040000E+00,-6.846270
8.050000E+00,-6.847546
8.060000E+00,-6.848813
8.070000E+00,-6.850072
8.080000E+00,-6.851322
8.090000E+00,-6.852564
8.100000E+00,-6.853796
8.110000E+00,-6.855020
8.120000E+00,-6.856236
8.130000E+00,-6.857442
8.140000E+00,-6.858641
8.150000E+00,-6.859830
8.160000E+00,-6.861010
8.170000E+00,-6.862182
8.180000E+00,-6.863344
8.190000E+00,-6.864498
8.200000E+00,-6.865643
8.210000E+00,-6.866780
8.220000E+00,-6.867907
8.230000E+00,-6.869026
8.240000E+00,-6.870135
8.250000E+00,-6.871236
8.260000E+00,-6.872328
8.270000E+00,-6.873410
8.280000E+00,-6.874484
8.290000E+00,-6.875549
8.300000E+00,-6.876605
8.310000E+00,-6.877652
8.320000E+00,-6.878690
8.330000E+00,-6.879719
8.340000E+00,-6.880738
8.350000E+00,-6.881749
8.360000E+00,-6.882751
8.370000E+00,-6.883743
8.380000E+00,-6.884727
8.390000E+00,-6.885702
8.400000E+00,-6.886667
8.410000E+00,-6.887623
8.420000E+00,-6.888570
8.430000E+00,-6.889508
8.440000E+00,-6.890436
8.450000E+00,-6.891356
8.460000E+00,-6.892266
8.470000E+00,-6.893167
8.480000E+00,-6.894059
8.490000E+00,-6.894942
8.500000E+00,-6.895815
8.510000E+00,-6.896679
8.520000E+00,-6.897534
8.530000E+00,-6.898380
8.540000E+00,-6.899216
8.550000E+00,-6.900043
8.560000E+00,-6.900860
8.570000E+00,-6.901669
8.580000E+00,-6.902468
8.590000E+00,-6.903257
8.600000E+00,-6.904038
8.610000E+00,-6.904809
8.620000E+00,-6.905570
8.630000E+00,-6.906322
8.640000E+00,-6.907065
8.650000E+00,-6.907798
8.660000E+00,-6.908522
8.670000E+00,-6.909236
8.680000E+00,-6.909942
8.690000E+00,-6.910637
8.700000E+00,-6.911323
8.710000E+00,-6.912000
8.720000E+00,-6.912667
8.730000E+00,-6.913325
8.740000E+00,-6.913973
8.750000E+00,-6.914612
8.760000E+00,-6.915241
8.770000E+00,-6.915860
8.780000E+00,-6.916471
8.790000E+00,-6.917071
8.800000E+00,-6.917662
8.810000E+00,-6.918244
8.820000E+00,-6.918816
8.830000E+00,-6.919378
8.840000E+00,-6.919931
8.850000E+00,-6.920474
8.860000E+00,-6.921007
8.870000E+00,-6.921531
8.880000E+00,-6.922045
8.890000E+00,-6.922550
8.900000E+00,-6.923045
8.910000E+00,-6.923531
8.920000E+00,-6.924006
8.930000E+00,-6.924473
8.940000E+00,-6.924929
8.950000E+00,-6.925376
8.960000E+00,-6.925813
8.970000E+00,-6.926240
8.980000E+00,-6.926658
8.990000E+00,-6.927066
9.000000E+00,-6.927465
9.010000E+00,-6.927853
9.020000E+00,-6.928232
9.030000E+00,-6.928602
9.040000E+00,-6.928961
9.050000E+00,-6.929311
9.060000E+00,-6.929651
9.070000E+00,-6.929982
9.080000E+00,-6.930303
9.090000E+00,-6.930613
9.100000E+00,-6.930914
9.110000E+00,-6.931206
9.120000E+00,-6.931488
9.130000E+00,-6.931760
9.140000E+00,-6.932022
9.150000E+00,-6.932274
9.160000E+00,-6.932517
9.170000E+00,-6.932750
9.180000E+00,-6.932973
9.190000E+00,-6.933186
9.200000E+00,-6.933389
9.210000E+00,-6.933583
9.220000E+00,-6.933767
9.230000E+00,-6.933941
9.240000E+00,-6.934106
9.250000E+00,-6.934260
9.260000E+00,-6.934405
9.270000E+00,-6.934540
9.280000E+00,-6.934665
9.290000E+00,-6.934780
9.300000E+00,-6.934886
9.310000E+00,-6.934982
9.320000E+00,-6.935067
9.330000E+00,-6.935143
9.340000E+00,-6.935209
9.350000E+00,-6.935266
9.360000E+00,-6.935312
9.370000E+00,-6.935349
9.380000E+00,-6.935376
9.390000E+00,-6.935393
9.400000E+00,-6.935401
9.410000E+00,-6.935398
9.420000E+00,-6.935386
9.430000E+00,-6.935364
9.440000E+00,-6.935332
9.450000E+00,-6.935290
9.460000E+00,-6.935238
9.470000E+00,-6.935177
9.480000E+00,-6.935105
9.490000E+00,-6.935024
9.500000E+00,-6.934933
9.510000E+00,-6.934832
9.520000E+00,-6.934722
9.530000E+00,-6.934601
9.540000E+00,-6.934471
9.550000E+00,-6.934331
9.560000E+00,-6.934181
9.570000E+00,-6.934021
9.580000E+00,-6.933852
9.590000E+00,-6.933672
9.600000E+00,-6.933483
9.610000E+00,-6.933284
9.620000E+00,-6.933075
9.630000E+00,-6.932857
9.640000E+00,-6.932628
9.650000E+00,-6.932390
9.660000E+00,-6.932142
9.670000E+00,-6.931884
